,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
ad_id,,,,,,,,,,,,,,,,,,,,,,,,
07b5aefc27e872e971f793e49aac38496fa62e484f3928e2b6a2b6e3e08cac8d,1.0,75000.0,,75000.0,75000.0,75000.0,75000.0,75000.0,1.0,32499.0,,32499.0,32499.0,32499.0,32499.0,32499.0,1.0,149.0,,149.0,149.0,149.0,149.0,149.0
0ddb025b8544e2d58e6977ad417e742a52522b3e1fc1c9d9b61c57148f8d72fc,1.0,30000.0,,30000.0,30000.0,30000.0,30000.0,30000.0,1.0,47499.0,,47499.0,47499.0,47499.0,47499.0,47499.0,1.0,249.0,,249.0,249.0,249.0,249.0,249.0
86229868e6bde3661724fe02da93504bb4fb5da8c2550d7b7cf193c687e89fa6,1.0,75000.0,,75000.0,75000.0,75000.0,75000.0,75000.0,1.0,22499.0,,22499.0,22499.0,22499.0,22499.0,22499.0,1.0,49.0,,49.0,49.0,49.0,49.0,49.0
